Epoch,Training Loss,Validation Loss,Accuracy,Precision,Recall,F1 Score
1,0.807000,0.636937,0.725000,0.525625,0.725000,0.609420
2,0.807000,0.619233,0.745833,0.721535,0.745833,0.690685
3,0.807000,0.569926,0.725000,0.525625,0.725000,0.609420
4,0.727000,0.623686,0.679167,0.671643,0.679167,0.675123
5,0.727000,0.553254,0.729167,0.802824,0.729167,0.619105
6,0.727000,0.560053,0.737500,0.720022,0.737500,0.656222
7,0.727000,0.590128,0.716667,0.694401,0.716667,0.701265
8,0.596800,0.554255,0.737500,0.708066,0.737500,0.707951
9,0.596800,0.577951,0.720833,0.709541,0.720833,0.714139
10,0.596800,0.538935,0.737500,0.704923,0.737500,0.698995
11,0.596800,0.543775,0.754167,0.730556,0.754167,0.723841
12,0.563100,0.542593,0.745833,0.718720,0.745833,0.714479
13,0.563100,0.538267,0.745833,0.718720,0.745833,0.714479
14,0.563100,0.543176,0.745833,0.723920,0.745833,0.726896
15,0.541000,0.545290,0.741667,0.721235,0.741667,0.725621
