Epoch,Training Loss,Validation Loss,Accuracy,Precision,Recall,F1 Score
1,0.637800,0.581536,0.729167,0.627286,0.729167,0.625878
2,0.637800,0.549349,0.733333,0.690123,0.733333,0.686333
3,0.637800,0.554523,0.766667,0.757457,0.766667,0.714704
4,0.569800,0.570608,0.766667,0.750320,0.766667,0.722126
5,0.569800,0.579976,0.766667,0.757457,0.766667,0.714704
6,0.569800,0.592907,0.783333,0.777160,0.783333,0.745145
7,0.569800,0.578317,0.783333,0.767725,0.783333,0.767222
8,0.293800,0.566514,0.787500,0.779263,0.787500,0.782113
9,0.293800,0.775130,0.787500,0.776990,0.787500,0.757123
10,0.293800,0.708785,0.791667,0.781642,0.791667,0.784325
11,0.293800,0.879927,0.804167,0.797189,0.804167,0.780799
12,0.083400,0.836663,0.787500,0.779263,0.787500,0.782113
13,0.083400,0.919958,0.795833,0.783447,0.795833,0.775816
14,0.083400,0.882096,0.800000,0.787941,0.800000,0.786858
15,0.035800,0.867418,0.787500,0.775339,0.787500,0.777739
