Epoch,Training Loss,Validation Loss,Accuracy,Precision,Recall,F1 Score
1,0.543600,0.415957,0.866667,0.803657,0.866667,0.815950
2,0.543600,0.444095,0.837500,0.770163,0.837500,0.799771
3,0.543600,0.445071,0.866667,0.855876,0.866667,0.860467
4,0.495900,0.329900,0.879167,0.854514,0.879167,0.855098
5,0.495900,0.381338,0.845833,0.877616,0.845833,0.857980
6,0.495900,0.280229,0.895833,0.885121,0.895833,0.888087
7,0.495900,0.299068,0.887500,0.883027,0.887500,0.885041
8,0.369600,0.256520,0.891667,0.879218,0.891667,0.882516
9,0.369600,0.258234,0.900000,0.894923,0.900000,0.897026
10,0.369600,0.247233,0.900000,0.892744,0.900000,0.895350
11,0.369600,0.246310,0.920833,0.917910,0.920833,0.919103
12,0.329900,0.247445,0.916667,0.914515,0.916667,0.915476
13,0.329900,0.282643,0.883333,0.897060,0.883333,0.888862
14,0.329900,0.272008,0.895833,0.903493,0.895833,0.899090
15,0.303600,0.262936,0.900000,0.905854,0.900000,0.902547
