Epoch,Training Loss,Validation Loss,Accuracy,Precision,Recall,F1 Score
1,0.712300,0.677451,0.700000,0.664250,0.700000,0.673635
2,0.712300,0.609333,0.725000,0.525625,0.725000,0.609420
3,0.712300,0.589978,0.725000,0.525625,0.725000,0.609420
4,0.682300,0.587766,0.725000,0.525625,0.725000,0.609420
5,0.682300,0.586624,0.725000,0.525625,0.725000,0.609420
6,0.682300,0.587509,0.725000,0.525625,0.725000,0.609420
7,0.682300,0.591572,0.725000,0.525625,0.725000,0.609420
8,0.615100,0.592202,0.725000,0.525625,0.725000,0.609420
9,0.615100,0.588553,0.725000,0.525625,0.725000,0.609420
10,0.615100,0.587065,0.725000,0.525625,0.725000,0.609420
11,0.615100,0.587146,0.725000,0.525625,0.725000,0.609420
12,0.618400,0.587535,0.725000,0.525625,0.725000,0.609420
13,0.618400,0.587517,0.725000,0.525625,0.725000,0.609420
14,0.618400,0.587201,0.725000,0.525625,0.725000,0.609420
15,0.615600,0.587247,0.725000,0.525625,0.725000,0.609420
