Epoch,Training Loss,Validation Loss,Accuracy,Precision,Recall,F1 Score
1,0.685200,0.617329,0.733333,0.537778,0.733333,0.620513
2,0.685200,0.576521,0.733333,0.537778,0.733333,0.620513
3,0.685200,0.576477,0.733333,0.537778,0.733333,0.620513
4,0.625200,0.574112,0.733333,0.537778,0.733333,0.620513
5,0.625200,0.572418,0.733333,0.537778,0.733333,0.620513
6,0.625200,0.572186,0.733333,0.537778,0.733333,0.620513
7,0.625200,0.569052,0.733333,0.537778,0.733333,0.620513
8,0.565600,0.566315,0.733333,0.537778,0.733333,0.620513
9,0.565600,0.565812,0.733333,0.537778,0.733333,0.620513
10,0.565600,0.566746,0.733333,0.537778,0.733333,0.620513
11,0.565600,0.568455,0.733333,0.537778,0.733333,0.620513
12,0.535600,0.566651,0.733333,0.537778,0.733333,0.620513
13,0.535600,0.567176,0.733333,0.537778,0.733333,0.620513
14,0.535600,0.565291,0.733333,0.537778,0.733333,0.620513
15,0.505800,0.566870,0.733333,0.537778,0.733333,0.620513
