Epoch,Training Loss,Validation Loss,Accuracy,Precision,Recall,F1 Score
1,0.592700,0.600600,0.870833,0.758351,0.870833,0.810709
2,0.592700,0.516937,0.870833,0.758351,0.870833,0.810709
3,0.592700,0.402670,0.870833,0.758351,0.870833,0.810709
4,0.542700,0.386455,0.870833,0.758351,0.870833,0.810709
5,0.542700,0.389378,0.870833,0.758351,0.870833,0.810709
6,0.542700,0.372901,0.870833,0.758351,0.870833,0.810709
7,0.542700,0.370738,0.870833,0.758351,0.870833,0.810709
8,0.445800,0.379012,0.870833,0.758351,0.870833,0.810709
9,0.445800,0.350400,0.870833,0.758351,0.870833,0.810709
10,0.445800,0.335584,0.870833,0.758351,0.870833,0.810709
11,0.445800,0.408167,0.870833,0.758351,0.870833,0.810709
12,0.436900,0.345513,0.870833,0.758351,0.870833,0.810709
13,0.436900,0.307397,0.870833,0.758351,0.870833,0.810709
14,0.436900,0.309667,0.870833,0.758351,0.870833,0.810709
15,0.410900,0.317255,0.870833,0.758351,0.870833,0.810709
