Epoch,Training Loss,Validation Loss,Accuracy,Precision,Recall,F1 Score
1,No log,0.624992,0.725000,0.525625,0.725000,0.609420
2,No log,0.601905,0.725000,0.525625,0.725000,0.609420
3,No log,0.578050,0.725000,0.525625,0.725000,0.609420
4,0.627800,0.591752,0.725000,0.676351,0.725000,0.663095
5,0.627800,0.581361,0.741667,0.712045,0.741667,0.687658
6,0.627800,0.574823,0.737500,0.703651,0.737500,0.692199
7,0.627800,0.593155,0.704167,0.678831,0.704167,0.686954
8,0.597300,0.566766,0.745833,0.717775,0.745833,0.705347
9,0.597300,0.604925,0.708333,0.700278,0.708333,0.703861
10,0.597300,0.577126,0.708333,0.674750,0.708333,0.682701
11,0.597300,0.570625,0.716667,0.682986,0.716667,0.689075
12,0.588000,0.582049,0.708333,0.689955,0.708333,0.696671
13,0.588000,0.582591,0.704167,0.684073,0.704167,0.691315
14,0.588000,0.575330,0.712500,0.690862,0.712500,0.697945
15,0.582800,0.574982,0.712500,0.690862,0.712500,0.697945
