Epoch,Training Loss,Validation Loss,Accuracy,Precision,Recall,F1 Score
1,0.602200,0.560411,0.737500,0.806695,0.737500,0.630213
2,0.582200,0.561324,0.758333,0.732698,0.758333,0.725271
3,0.582200,0.551409,0.741667,0.709295,0.741667,0.709375
4,0.542200,0.540230,0.758333,0.768116,0.758333,0.686229
5,0.542200,0.530644,0.758333,0.740415,0.758333,0.744439
6,0.542200,0.530984,0.770833,0.759730,0.770833,0.725341
7,0.542200,0.530135,0.770833,0.752216,0.770833,0.752762
8,0.377200,0.533774,0.783333,0.767725,0.783333,0.767222
9,0.377200,0.536226,0.783333,0.767725,0.783333,0.767222
10,0.377200,0.537886,0.775000,0.757672,0.775000,0.758269
11,0.377200,0.554051,0.783333,0.767188,0.783333,0.763170
12,0.224000,0.559979,0.770833,0.754188,0.770833,0.756728
13,0.224000,0.566121,0.766667,0.748732,0.766667,0.751334
14,0.224000,0.569829,0.779167,0.763043,0.779167,0.763713
15,0.128300,0.575157,0.779167,0.763043,0.779167,0.763713
