Epoch,Training Loss,Validation Loss,Accuracy,Precision,Recall,F1 Score
1,0.562200,0.387051,0.870833,0.758351,0.870833,0.810709
2,0.562200,0.364286,0.870833,0.758351,0.870833,0.810709
3,0.562200,0.396673,0.870833,0.758351,0.870833,0.810709
4,0.482200,0.379089,0.870833,0.825648,0.870833,0.818268
5,0.482200,0.539997,0.758333,0.864481,0.758333,0.792932
6,0.482200,0.342161,0.895833,0.883542,0.895833,0.885935
7,0.482200,0.398723,0.858333,0.878178,0.858333,0.866435
8,0.392700,0.298848,0.912500,0.905883,0.912500,0.907652
9,0.392700,0.289864,0.908333,0.900493,0.908333,0.902404
10,0.392700,0.288080,0.908333,0.900493,0.908333,0.902404
11,0.392700,0.278667,0.912500,0.905883,0.912500,0.907652
12,0.356100,0.292324,0.895833,0.897286,0.895833,0.896535
13,0.356100,0.295959,0.904167,0.905509,0.904167,0.904812
14,0.356100,0.307262,0.895833,0.900313,0.895833,0.897861
15,0.338200,0.301778,0.900000,0.902840,0.900000,0.901322
