Epoch,Training Loss,Validation Loss,Accuracy,Precision,Recall,F1 Score
1,No log,0.720642,0.487500,0.569222,0.487500,0.514337
2,No log,0.826690,0.308333,0.518547,0.308333,0.253563
3,No log,0.836432,0.304167,0.521682,0.304167,0.237777
4,0.729600,0.775213,0.358333,0.558516,0.358333,0.347984
5,0.729600,0.745669,0.408333,0.588912,0.408333,0.418417
6,0.729600,0.754987,0.395833,0.599659,0.395833,0.394690
7,0.729600,0.779252,0.337500,0.583967,0.337500,0.291127
8,0.710400,0.794992,0.312500,0.567186,0.312500,0.237392
9,0.710400,0.795394,0.304167,0.557420,0.304167,0.217962
10,0.710400,0.795192,0.312500,0.593200,0.312500,0.227328
11,0.710400,0.803240,0.308333,0.582500,0.308333,0.220024
12,0.699800,0.804093,0.308333,0.582500,0.308333,0.220024
13,0.699800,0.806431,0.320833,0.649518,0.320833,0.231510
14,0.699800,0.815779,0.312500,0.630869,0.312500,0.216684
15,0.699400,0.807942,0.320833,0.649518,0.320833,0.231510
