Epoch,Training Loss,Validation Loss,Accuracy,Precision,Recall,F1 Score
1,0.725800,0.620863,0.729167,0.627286,0.729167,0.625878
2,0.725800,0.751389,0.387500,0.594737,0.387500,0.390978
3,0.725800,0.757393,0.329167,0.628360,0.329167,0.267944
4,0.655800,0.707984,0.504167,0.659102,0.504167,0.527870
5,0.655800,0.656615,0.645833,0.685899,0.645833,0.660427
6,0.655800,0.650875,0.650000,0.680982,0.650000,0.662144
7,0.655800,0.643765,0.637500,0.663873,0.637500,0.648445
8,0.569700,0.645512,0.650000,0.684493,0.650000,0.663106
9,0.569700,0.647957,0.645833,0.682328,0.645833,0.659556
10,0.569700,0.643770,0.654167,0.686675,0.654167,0.666650
11,0.569700,0.636606,0.658333,0.692369,0.658333,0.671128
12,0.523200,0.639119,0.662500,0.701615,0.662500,0.676407
13,0.523200,0.638575,0.658333,0.692369,0.658333,0.671128
14,0.523200,0.640301,0.666667,0.703765,0.666667,0.680000
15,0.506800,0.645941,0.670833,0.713069,0.670833,0.685143
