Epoch,Training Loss,Validation Loss,Accuracy,Precision,Recall,F1 Score
1,No log,0.731634,0.420833,0.809117,0.420833,0.492626
2,No log,0.645618,0.675000,0.815860,0.675000,0.724828
3,No log,0.577110,0.791667,0.822891,0.791667,0.805480
4,0.713800,0.499153,0.833333,0.828703,0.833333,0.830952
5,0.713800,0.492542,0.829167,0.840639,0.829167,0.834507
6,0.713800,0.496364,0.825000,0.843548,0.825000,0.833293
7,0.713800,0.499807,0.825000,0.843548,0.825000,0.833293
8,0.689200,0.499893,0.825000,0.848073,0.825000,0.835008
9,0.689200,0.506680,0.816667,0.849772,0.816667,0.830376
10,0.689200,0.516159,0.812500,0.848428,0.812500,0.827274
11,0.689200,0.531464,0.779167,0.838876,0.779167,0.802615
12,0.678200,0.528742,0.787500,0.841096,0.787500,0.808762
13,0.678200,0.540360,0.770833,0.836746,0.770833,0.796471
14,0.678200,0.565641,0.766667,0.845703,0.766667,0.795690
15,0.674200,0.547910,0.775000,0.842736,0.775000,0.800777
