Epoch,Training Loss,Validation Loss,Accuracy,Precision,Recall,F1 Score
1,0.746500,0.596530,0.725000,0.525625,0.725000,0.609420
2,0.746500,0.604520,0.712500,0.579468,0.712500,0.610436
3,0.746500,0.590960,0.725000,0.664496,0.725000,0.616947
4,0.616500,0.586516,0.733333,0.716239,0.733333,0.641830
5,0.616500,0.578898,0.729167,0.684641,0.729167,0.656215
6,0.616500,0.564870,0.725000,0.670217,0.725000,0.642744
7,0.616500,0.565997,0.737500,0.708988,0.737500,0.666793
8,0.596600,0.597242,0.737500,0.710763,0.737500,0.713200
9,0.596600,0.566593,0.741667,0.713438,0.741667,0.683514
10,0.596600,0.578094,0.741667,0.712380,0.741667,0.708350
11,0.596600,0.600890,0.708333,0.689955,0.708333,0.696671
12,0.592100,0.567774,0.750000,0.724394,0.750000,0.711774
13,0.592100,0.558108,0.758333,0.742890,0.758333,0.711480
14,0.592100,0.558729,0.754167,0.733956,0.754167,0.708298
15,0.584700,0.558898,0.754167,0.733956,0.754167,0.708298
