Epoch,Training Loss,Validation Loss,Accuracy,Precision,Recall,F1 Score
1,No log,0.584388,0.733333,0.537778,0.733333,0.620513
2,0.655600,0.570327,0.733333,0.537778,0.733333,0.620513
3,0.570700,0.558507,0.741667,0.808964,0.741667,0.639672
4,0.538300,0.624729,0.733333,0.537778,0.733333,0.620513
5,0.514900,0.530804,0.779167,0.788517,0.779167,0.728104
6,0.514900,0.544544,0.783333,0.815466,0.783333,0.727363
7,0.487900,0.562041,0.766667,0.770881,0.766667,0.706391
8,0.453000,0.538355,0.770833,0.769542,0.770833,0.717844
9,0.424900,0.537656,0.754167,0.727636,0.754167,0.705366
10,0.400100,0.541703,0.766667,0.757457,0.766667,0.714704
