Epoch,Training Loss,Validation Loss,Accuracy,Precision,Recall,F1 Score
1,0.691700,0.596983,0.725000,0.525625,0.725000,0.609420
2,0.691700,0.598997,0.729167,0.802824,0.729167,0.619105
3,0.691700,0.564823,0.725000,0.525625,0.725000,0.609420
4,0.621700,0.603464,0.704167,0.662491,0.704167,0.670865
5,0.621700,0.556045,0.733333,0.805042,0.733333,0.628555
6,0.621700,0.565566,0.716667,0.618376,0.716667,0.619444
7,0.621700,0.555216,0.729167,0.802824,0.729167,0.619105
8,0.572900,0.553174,0.729167,0.712553,0.729167,0.626283
9,0.572900,0.563401,0.729167,0.686328,0.729167,0.645309
10,0.572900,0.558868,0.733333,0.700870,0.733333,0.653570
11,0.572900,0.567564,0.729167,0.684778,0.729167,0.661213
12,0.559900,0.565512,0.733333,0.695201,0.733333,0.668783
13,0.559900,0.569167,0.733333,0.695413,0.733333,0.681633
14,0.559900,0.574570,0.725000,0.686429,0.725000,0.686328
15,0.538200,0.575241,0.720833,0.683213,0.720833,0.686395
