Epoch,Training Loss,Validation Loss,Accuracy,Precision,Recall,F1 Score
1,0.708500,0.594133,0.733333,0.537778,0.733333,0.620513
2,0.638500,0.539073,0.775000,0.783036,0.775000,0.721000
3,0.546000,0.541656,0.775000,0.765805,0.775000,0.732051
4,0.481000,0.548620,0.783333,0.802976,0.783333,0.731333
5,0.384100,0.542008,0.787500,0.782512,0.787500,0.751539
6,0.384100,0.524605,0.829167,0.835767,0.829167,0.806817
7,0.256500,0.576330,0.808333,0.806984,0.808333,0.782111
8,0.160500,0.543301,0.825000,0.817989,0.825000,0.811987
9,0.082400,0.600973,0.812500,0.802739,0.812500,0.799379
10,0.048900,0.606297,0.812500,0.803162,0.812500,0.797714
