Epoch,Training Loss,Validation Loss,Accuracy,Precision,Recall,F1 Score
1,0.586500,0.503683,0.866667,0.815035,0.866667,0.822422
2,0.586500,0.350038,0.870833,0.758351,0.870833,0.810709
3,0.586500,0.315449,0.870833,0.758351,0.870833,0.810709
4,0.528400,0.297384,0.883333,0.865921,0.883333,0.849659
5,0.528400,0.295394,0.887500,0.873125,0.887500,0.876810
6,0.528400,0.272063,0.895833,0.887083,0.895833,0.871648
7,0.528400,0.267867,0.887500,0.881713,0.887500,0.852668
8,0.336200,0.263402,0.887500,0.881713,0.887500,0.852668
9,0.336200,0.250686,0.904167,0.895257,0.904167,0.887937
10,0.336200,0.243867,0.908333,0.900630,0.908333,0.894081
11,0.336200,0.258899,0.891667,0.886050,0.891667,0.888444
12,0.301700,0.242838,0.908333,0.900493,0.908333,0.902404
13,0.301700,0.254313,0.900000,0.894923,0.900000,0.897026
14,0.301700,0.265134,0.895833,0.894425,0.895833,0.895104
15,0.278000,0.263679,0.895833,0.894425,0.895833,0.895104
